	TCGA.3Z.A93Z	TCGA.6D.AA2E	TCGA.A3.3358	TCGA.A3.3387	TCGA.A3.A6NI	TCGA.A3.A6NJ	TCGA.A3.A6NL	TCGA.A3.A6NN	TCGA.A3.A8CQ	TCGA.A3.A8OU	TCGA.A3.A8OV	TCGA.A3.A8OW	TCGA.A3.A8OX	TCGA.AK.3440	TCGA.AK.3458	TCGA.B0.4698	TCGA.B0.4700	TCGA.B0.4706	TCGA.B0.4710	TCGA.B0.4712	TCGA.B0.4810	TCGA.B0.4811	TCGA.B0.4815	TCGA.B0.4816	TCGA.B0.4818	TCGA.B0.4821	TCGA.B0.4852	TCGA.B0.5080	TCGA.B0.5399	TCGA.B0.5400	TCGA.B0.5402	TCGA.B0.5690	TCGA.B0.5691	TCGA.B0.5692	TCGA.B0.5693	TCGA.B0.5694	TCGA.B0.5695	TCGA.B0.5696	TCGA.B0.5697	TCGA.B0.5698	TCGA.B0.5699	TCGA.B0.5700	TCGA.B0.5701	TCGA.B0.5702	TCGA.B0.5703	TCGA.B0.5705	TCGA.B0.5706	TCGA.B0.5707	TCGA.B0.5709	TCGA.B0.5710	TCGA.B0.5711	TCGA.B0.5712	TCGA.B0.5713	TCGA.B0.5812	TCGA.B2.3924	TCGA.B2.5633	TCGA.B2.5635	TCGA.B2.5636	TCGA.B2.5639	TCGA.B2.5641	TCGA.B2.A4SR	TCGA.B4.5377	TCGA.B4.5378	TCGA.B4.5832	TCGA.B4.5834	TCGA.B4.5835	TCGA.B4.5836	TCGA.B4.5838	TCGA.B4.5843	TCGA.B4.5844	TCGA.B8.4146	TCGA.B8.4153	TCGA.B8.4621	TCGA.B8.4622	TCGA.B8.5545	TCGA.B8.5546	TCGA.B8.5549	TCGA.B8.5550	TCGA.B8.5551	TCGA.B8.5552	TCGA.B8.5553	TCGA.B8.A54D	TCGA.B8.A54E	TCGA.B8.A54F	TCGA.B8.A54G	TCGA.B8.A54H	TCGA.B8.A54I	TCGA.B8.A54J	TCGA.B8.A54K	TCGA.B8.A7U6	TCGA.B8.A8YJ	TCGA.BP.4770	TCGA.CJ.5671	TCGA.CJ.5672	TCGA.CJ.5675	TCGA.CJ.5676	TCGA.CJ.5677	TCGA.CJ.5678	TCGA.CJ.5679	TCGA.CJ.5680	TCGA.CJ.5681	TCGA.CJ.5682	TCGA.CJ.5683	TCGA.CJ.5684	TCGA.CJ.5686	TCGA.CJ.5689	TCGA.CJ.6027	TCGA.CJ.6028	TCGA.CJ.6030	TCGA.CJ.6031	TCGA.CJ.6032	TCGA.CJ.6033	TCGA.CW.5580	TCGA.CW.5581	TCGA.CW.5583	TCGA.CW.5584	TCGA.CW.5585	TCGA.CW.5587	TCGA.CW.5588	TCGA.CW.5589	TCGA.CW.5590	TCGA.CW.5591	TCGA.CW.6087	TCGA.CW.6088	TCGA.CW.6090	TCGA.CW.6093	TCGA.CW.6097	TCGA.CZ.4863	TCGA.CZ.4864	TCGA.CZ.4865	TCGA.CZ.4866	TCGA.CZ.5451	TCGA.CZ.5452	TCGA.CZ.5453	TCGA.CZ.5454	TCGA.CZ.5455	TCGA.CZ.5456	TCGA.CZ.5457	TCGA.CZ.5458	TCGA.CZ.5459	TCGA.CZ.5460	TCGA.CZ.5461	TCGA.CZ.5462	TCGA.CZ.5463	TCGA.CZ.5464	TCGA.CZ.5465	TCGA.CZ.5466	TCGA.CZ.5467	TCGA.CZ.5468	TCGA.CZ.5469	TCGA.CZ.5470	TCGA.CZ.5982	TCGA.CZ.5984	TCGA.CZ.5985	TCGA.CZ.5986	TCGA.CZ.5987	TCGA.CZ.5988	TCGA.CZ.5989	TCGA.DV.5565	TCGA.DV.5566	TCGA.DV.5567	TCGA.DV.5568	TCGA.DV.5569	TCGA.DV.5573	TCGA.DV.5574	TCGA.DV.5575	TCGA.DV.5576	TCGA.DV.A4VX	TCGA.DV.A4VZ	TCGA.DV.A4W0	TCGA.EU.5904	TCGA.EU.5905	TCGA.EU.5906	TCGA.EU.5907	TCGA.G6.A5PC	TCGA.G6.A8L6	TCGA.G6.A8L7	TCGA.G6.A8L8	TCGA.GK.A6C7	TCGA.MM.A563	TCGA.MM.A564	TCGA.MM.A84U	TCGA.MW.A4EC	TCGA.T7.A92I
hsa-mir-1277	0.305176302	-0.708897635	-0.033353237	-0.031735388	-0.656722074	-0.570558131	-1.242063268	-1.799613439	-0.423807219	0.301540488	-0.403910636	0.398669319	-0.666725124	0.056470775	-0.400546162	2.294526409	-0.52401796	0.975607733	1.046124436	-0.121152199	0.39757953	-0.382201714	2.674397084	1.786346719	1.458682747	0.282006161	0.559068063	-0.976518007	0.340204402	0.3944926	-0.680984341	0.223378137	-0.562510827	0.431921871	1.066384225	0.371392247	0.355986593	0.252818035	-0.898937789	-0.929559518	-1.003753366	0.539706303	-1.083864653	0.76310877	-0.511527236	-0.556004535	-0.405497835	1.119908822	0.402385371	-0.402859313	-0.587542658	1.139568986	0.331837535	-0.231895266	-1.328844287	-1.175633832	-0.453162065	0.67458365	1.354499399	-0.170994155	-1.200520002	1.826080322	-0.011248463	-0.91503396	0.376971193	-0.204434595	-0.807596281	1.108562561	-0.383880432	0.248005576	0.945454607	0.761182811	-0.365966266	0.335055332	0.686162218	-1.799613439	-0.621233318	0.202746932	1.636299303	-0.724302137	2.088426776	-0.413952142	2.234948088	-0.278388588	0.137080851	-0.392997008	-1.309462789	-1.087355163	-1.455861927	-1.535803679	-0.608177895	0.01524	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1278	0.567447308	-0.347772477	-0.347772477	-0.347772477	1.380408729	-0.347772477	1.14800903	-0.347772477	0.929640081	-0.347772477	-0.347772477	0.89214092	-0.347772477	0.627904931	-0.347772477	-0.347772477	-0.347772477	-0.347772477	3.080098933	-0.347772477	-0.347772477	-0.347772477	5.990961176	-0.347772477	-0.347772477	-0.347772477	-0.347772477	-0.347772477	-0.347772477	-0.347772477	-0.347772477	-0.347772477	-0.347772477	2.426433864	-0.347772477	-0.347772477	-0.347772477	-0.347772477	-0.347772477	-0.347772477	-0.347772477	-0.347772477	-0.347772477	-0.347772477	-0.347772477	-0.347772477	1.841123663	-0.347772477	-0.347772477	-0.347772477	2.063603966	-0.347772477	-0.347772477	-0.347772477	1.294661693	-0.347772477	-0.347772477	-0.347772477	4.21230972	-0.347772477	-0.347772477	-0.347772477	-0.347772477	-0.347772477	-0.347772477	-0.347772477	-0.347772477	-0.347772477	-0.347772477	-0.347772477	-0.347772477	2.257808245	2.586102376	-0.347772477	-0.347772477	-0.347772477	-0.347772477	-0.347772477	3.739596992	-0.347772477	-0.347772477	-0.347772477	-0.347772477	-0.347772477	-0.347772477	-0.347772477	-0.347772477	-0.347772477	-0.347772477	0.98993085	-0.347772477	-0.347772477	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-128-1	0.42922853	1.386396241	-0.122708453	-1.106121744	1.449342104	0.339824225	0.25524226	1.999933881	1.002139255	3.393920768	2.961033902	1.611534587	1.363942387	0.236736831	-0.3622005	0.687203143	-1.362407465	-0.800149744	0.110510525	-0.844243452	0.745332975	-0.388757396	-0.517488634	-0.248008596	-0.521900469	0.03500808	-0.48510683	0.150554299	-0.21825592	0.735101952	-0.444546416	-0.282342908	0.244347334	0.299026494	-0.17640454	-0.38716235	1.169577359	0.309202127	0.376930667	0.681666674	0.116210418	-0.544117229	-0.879929832	-0.1928322	-1.048850385	-0.753289516	-0.906046213	-1.535659911	-0.672234052	-0.488322221	-0.495576004	-0.996235059	1.896520511	-0.593309485	2.735017699	1.505806598	3.510605988	-0.098944178	-0.201104426	-0.006636018	0.024865987	-0.086788981	-1.689248043	0.118855955	-0.035129311	0.724854034	1.306354241	-0.164985742	0.7612533	0.87659004	0.021924483	-1.327463702	0.0189382	-0.503990495	-0.497505552	3.179363575	-0.913408649	-0.221602958	0.41337898	-1.224234066	-0.13409431	-0.09755017	0.518016318	-0.652669241	-0.279694864	0.72757887	0.264835392	0.439482794	-1.334315371	2.178537155	1.171173611	-0.114021749	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-128-2	0.745436695	1.348107969	0.036377656	-1.359952051	1.352206611	0.720452962	0.290132543	1.657626547	1.118068489	3.510679634	2.687808277	1.956180711	1.556088042	0.268626613	-0.452001076	0.969996739	-0.993889955	-0.64449778	0.438569445	-0.641177976	0.865493212	-0.422704144	-0.353031683	0.023916743	-0.256994788	0.513701953	-0.412225583	-0.046174979	-0.05217132	0.810596799	-0.899557736	-0.688369255	0.134257561	0.38683942	-0.226622872	-0.594374698	1.164644359	0.214488751	0.027106983	0.489357607	0.230492688	-0.257768378	-0.908769982	-0.210012394	-0.569081516	-0.730837007	-0.680670253	-1.412532657	-0.327883444	-0.475126241	-0.865355682	-0.922489223	1.702031727	-0.719513347	2.774787937	1.766830342	3.436203301	0.437584386	0.519745666	-0.375311279	0.172324001	0.103875415	-1.595090833	0.579100359	-0.145643024	0.802575114	1.034242831	-0.366134276	0.761684068	0.999344594	0.214211522	-0.891572718	0.217625655	-0.435823744	-0.836225244	2.993290112	-1.128604792	-0.563750735	0.27581811	-1.307816582	0.162297291	0.239611824	0.324345146	-0.693100044	-0.04340393	0.808057294	0.670103524	0.575948337	-1.34644447	2.049524364	1.179035036	-0.016282026	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1280	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	13.49093899	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1281	-0.170857143	3.02333541	-0.170857143	-0.170857143	-0.170857143	-0.170857143	-0.170857143	-0.170857143	-0.170857143	-0.170857143	-0.170857143	2.249493741	-0.170857143	-0.170857143	-0.170857143	-0.170857143	-0.170857143	-0.170857143	-0.170857143	-0.170857143	-0.170857143	-0.170857143	-0.170857143	-0.170857143	-0.170857143	-0.170857143	-0.170857143	-0.170857143	-0.170857143	-0.170857143	-0.170857143	-0.170857143	-0.170857143	-0.170857143	-0.170857143	-0.170857143	-0.170857143	-0.170857143	-0.170857143	-0.170857143	-0.170857143	-0.170857143	-0.170857143	-0.170857143	-0.170857143	-0.170857143	-0.170857143	-0.170857143	-0.170857143	-0.170857143	-0.170857143	-0.170857143	-0.170857143	-0.170857143	-0.170857143	-0.170857143	-0.170857143	-0.170857143	-0.170857143	-0.170857143	-0.170857143	-0.170857143	-0.170857143	-0.170857143	-0.170857143	-0.170857143	-0.170857143	-0.170857143	-0.170857143	-0.170857143	-0.170857143	-0.170857143	-0.170857143	-0.170857143	-0.170857143	-0.170857143	-0.170857143	-0.170857143	-0.170857143	-0.170857143	-0.170857143	-0.170857143	-0.170857143	-0.170857143	-0.170857143	-0.170857143	-0.170857143	-0.170857143	-0.170857143	-0.170857143	-0.170857143	-0.170857143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1283-1	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	13.49093899	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1283-2	-0.104485397	-0.104485397	-0.104485397	-0.104485397	-0.104485397	-0.104485397	-0.104485397	-0.104485397	-0.104485397	-0.104485397	-0.104485397	-0.104485397	9.826316789	-0.104485397	-0.104485397	-0.104485397	-0.104485397	-0.104485397	-0.104485397	-0.104485397	-0.104485397	-0.104485397	-0.104485397	-0.104485397	-0.104485397	-0.104485397	-0.104485397	-0.104485397	-0.104485397	-0.104485397	-0.104485397	-0.104485397	-0.104485397	-0.104485397	-0.104485397	-0.104485397	-0.104485397	-0.104485397	-0.104485397	-0.104485397	-0.104485397	-0.104485397	-0.104485397	-0.104485397	-0.104485397	-0.104485397	-0.104485397	-0.104485397	-0.104485397	-0.104485397	-0.104485397	-0.104485397	-0.104485397	-0.104485397	-0.104485397	-0.104485397	-0.104485397	-0.104485397	-0.104485397	-0.104485397	-0.104485397	-0.104485397	-0.104485397	-0.104485397	-0.104485397	-0.104485397	-0.104485397	-0.104485397	-0.104485397	-0.104485397	-0.104485397	-0.104485397	-0.104485397	-0.104485397	-0.104485397	-0.104485397	-0.104485397	-0.104485397	-0.104485397	-0.104485397	-0.104485397	-0.104485397	-0.104485397	-0.104485397	-0.104485397	-0.104485397	-0.104485397	-0.104485397	-0.104485397	-0.104485397	-0.104485397	-0.104485397	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1284	-0.167990676	0.169073696	-0.007897539	-0.59577936	0.212000778	-0.59577936	-0.59577936	-0.59577936	-0.59577936	0.227779074	-0.59577936	-0.016223576	0.052588694	-0.59577936	0.109493727	2.086799799	2.427552442	0.354860753	-0.59577936	-0.59577936	0.199406555	-0.59577936	-0.59577936	0.662193653	0.473121707	-0.59577936	-0.59577936	-0.59577936	-0.59577936	-0.59577936	-0.59577936	-0.59577936	-0.59577936	0.700930021	1.253531083	-0.59577936	1.383681594	-0.59577936	-0.59577936	-0.59577936	1.2905154	-0.59577936	-0.59577936	-0.59577936	-0.59577936	-0.59577936	-0.59577936	2.059167152	-0.59577936	-0.59577936	-0.59577936	-0.59577936	1.624011771	-0.59577936	-0.198943539	0.883135719	-0.59577936	-0.59577936	1.535677582	-0.59577936	0.824152169	-0.59577936	-0.59577936	-0.59577936	0.877879536	-0.59577936	0.700857863	2.708217274	-0.59577936	-0.59577936	2.46861908	1.624061589	0.775561693	-0.59577936	-0.59577936	-0.59577936	0.9709663	-0.59577936	2.741111319	-0.59577936	-0.59577936	1.280899052	-0.59577936	-0.59577936	0.942843042	-0.59577936	-0.59577936	-0.59577936	-0.59577936	-0.59577936	-0.59577936	6.123001476	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1285-1	-0.347155456	-0.347155456	-0.347155456	-0.347155456	-0.347155456	-0.347155456	0.571124128	-0.347155456	-0.347155456	-0.347155456	-0.347155456	-0.347155456	-0.347155456	0.251825505	0.579162726	1.621010744	-0.347155456	-0.347155456	1.757259072	-0.347155456	-0.347155456	-0.347155456	-0.347155456	-0.347155456	-0.347155456	-0.347155456	-0.347155456	2.215120547	-0.347155456	-0.347155456	-0.347155456	-0.347155456	-0.347155456	-0.347155456	-0.347155456	-0.347155456	-0.347155456	-0.347155456	-0.347155456	-0.347155456	-0.347155456	-0.347155456	-0.347155456	-0.347155456	-0.347155456	1.177907199	-0.347155456	3.139898384	-0.347155456	4.00090607	-0.347155456	-0.347155456	-0.347155456	-0.347155456	-0.347155456	-0.347155456	-0.347155456	-0.347155456	-0.347155456	-0.347155456	1.5178078	-0.347155456	-0.347155456	-0.347155456	-0.347155456	4.618597379	-0.347155456	3.992372327	4.059986864	-0.347155456	-0.347155456	-0.347155456	-0.347155456	-0.347155456	-0.347155456	-0.347155456	-0.347155456	-0.347155456	-0.347155456	-0.347155456	-0.347155456	-0.347155456	-0.347155456	-0.347155456	1.673698497	-0.347155456	-0.347155456	-0.347155456	-0.347155456	-0.347155456	-0.347155456	-0.347155456	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1285-2	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	13.49093899	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	-0.073720978	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1286	-0.154704235	-0.154704235	-0.154704235	-0.154704235	-0.154704235	7.336961602	-0.154704235	-0.154704235	-0.154704235	-0.154704235	-0.154704235	-0.154704235	-0.154704235	-0.154704235	2.363928769	-0.154704235	-0.154704235	3.240170188	-0.154704235	-0.154704235	-0.154704235	-0.154704235	-0.154704235	-0.154704235	-0.154704235	-0.154704235	-0.154704235	-0.154704235	-0.154704235	-0.154704235	-0.154704235	-0.154704235	-0.154704235	-0.154704235	-0.154704235	-0.154704235	-0.154704235	7.407828435	-0.154704235	-0.154704235	-0.154704235	-0.154704235	-0.154704235	-0.154704235	-0.154704235	-0.154704235	-0.154704235	-0.154704235	-0.154704235	-0.154704235	-0.154704235	-0.154704235	-0.154704235	-0.154704235	-0.154704235	-0.154704235	-0.154704235	-0.154704235	-0.154704235	-0.154704235	-0.154704235	-0.154704235	-0.154704235	-0.154704235	-0.154704235	-0.154704235	-0.154704235	-0.154704235	-0.154704235	-0.154704235	-0.154704235	-0.154704235	-0.154704235	-0.154704235	-0.154704235	-0.154704235	-0.154704235	-0.154704235	-0.154704235	-0.154704235	-0.154704235	-0.154704235	-0.154704235	-0.154704235	-0.154704235	-0.154704235	-0.154704235	-0.154704235	-0.154704235	-0.154704235	-0.154704235	-0.154704235	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1287	0.618091106	1.803634688	0.477445839	-1.273463535	1.058350236	0.680403652	0.73733412	0.237544708	0.998191265	0.361939922	0.101444286	-0.069988809	0.958086604	-3.392716172	0.698219351	0.187773004	-0.507371089	0.689602473	0.555629418	-0.126380235	-0.115918472	-1.684201821	1.277768165	0.379484837	0.80072667	-1.30221208	-0.353288111	1.035109329	1.024280129	-0.296575001	-0.661955318	-1.044732068	-0.760545218	0.678302483	0.828578298	0.955563443	0.567359237	0.826148113	-1.088799895	0.279067514	-0.6444799	1.361164617	0.126991864	0.994588742	-0.426517826	-0.151492452	0.21237718	-0.562271013	-0.031661425	-0.361668021	-0.997321464	0.420566515	0.325517458	0.795688287	-0.466912987	2.293723638	0.489593568	0.129688851	2.264033475	-0.790326802	1.110947509	0.76964817	-1.892027907	2.460896726	-0.575295731	-0.795780927	-0.706529181	-0.047029314	0.720988479	-0.820584011	1.116916225	0.522768265	0.794490674	-0.458630271	0.13204492	1.870242213	-1.268878873	0.014772589	0.811693161	0.069740935	2.270392496	0.126841588	1.990177664	-0.853350382	0.388372296	0.558770591	-1.837637003	0.853368916	-3.134064896	0.290906472	1.514610124	0.701903592	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1288	-0.620619626	-0.358642448	-0.953110634	-0.953110634	0.224145889	0.67739172	-0.409706844	0.032570305	0.31405672	0.741612027	-0.156808554	-0.502661396	0.413040481	0.034701129	0.92042209	3.106698859	-0.953110634	-0.953110634	0.292203811	-0.953110634	-0.335066783	-0.953110634	1.349693537	0.024626108	1.709571618	-0.953110634	-0.953110634	-0.953110634	0.956275158	-0.953110634	-0.953110634	0.311544316	-0.953110634	1.565267156	0.484232416	3.046193325	-0.117049803	0.692815331	-0.04588449	-0.953110634	0.512977806	-0.953110634	1.378889038	2.011501854	0.391148139	0.698043509	0.515491626	-0.953110634	-0.953110634	-0.953110634	-0.077079547	0.000824311	0.77218182	0.723365996	0.169001367	-0.341002567	-0.953110634	-0.953110634	0.703525672	0.287564857	-0.953110634	-0.953110634	-0.953110634	0.676411681	-0.953110634	-0.953110634	0.054677165	-0.953110634	0.54108804	-0.953110634	-0.953110634	-0.006526902	0.112739364	0.775439084	0.218215566	-0.953110634	-0.953110634	2.735524458	-0.953110634	-0.953110634	0.437254831	-0.953110634	-0.953110634	-0.953110634	1.182370208	-0.953110634	-0.953110634	-0.036505896	-0.319871029	0.733692955	0.624142847	3.428921766	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
